sdl 1.2.15-9
sdl2 2.0.5-4
shared-mime-info 1.8-1
slang 2.3.1a-1
smbclient 4.6.7-1
snappy 1.1.4-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.20.1-1
startup-notification 0.12-5
stfl 0.24-2
systemd 234.11-8
t1lib 5.1.2-6
talloc 2.1.10-1
tdb 1.3.12-1
termite-terminfo-git 12.r28.gd87e7c8-1
tevent 1:0.9.31-1
thin-provisioning-tools 0.7.1-1
tzdata 2017b-1
uchardet 0.0.6-1
v4l-utils 1.12.5-1
vamp-plugin-sdk 2.6-1
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.1092-1
vim-runtime 8.0.1092-1
volume_key 0.3.9-3
vpnc 0.5.3.svn550-2
vte-common 0.48.3-1
vte3-ng 0.48.3.a-1
wayland 1.14.0-1
wayland-protocols 1.10-1
webkit2gtk 2.16.6-1
webrtc-audio-processing 0.3-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-8
wv 1.2.9-4
x265 2.5-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86vidmodeproto 2.3.1-3
xfconf 4.12.1-4
xineramaproto 1.2.1-3
xkeyboard-config 2.21-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server-common 1.19.3-3
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xkbcomp 1.4.0-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.3-1
yaml-cpp 0.5.3-3
yubico-c 1.13-4
yubico-c-client 2.15-3
yubikey-personalization 1.18.0-3
zathura 0.3.7-1
zeromq 4.2.2-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
