pcsc-perl 1.4.14-7
pcsclite 1.8.23-2
perl-error 0.17025-2
perl-mailtools 2.20-1
perl-timedate 2.30-4
pinentry 1.1.0-2
pixman 0.34.0-1
polkit 0.114-1
poppler 0.64.0-1
poppler-glib 0.64.0-1
popt 1.16-9
portaudio 190600_20161030-1
procps-ng 3.3.14-1
psiconv 0.9.9-6
pwgen 2.08-1
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
python 3.6.5-2
python-appdirs 1.4.3-1
python-cairo 1.17.0-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-packaging 16.8-2
python-pyparsing 2.2.0-1
python-pyudev 0.21.0-2
python-setuptools 1:39.1.0-1
python-six 1.11.0-1
python-unidecode 1.0.22-1
python-urwid 2.0.1-1
python2 2.7.14-3
python2-appdirs 1.4.3-1
python2-cairo 1.17.0-1
python2-gobject 3.28.2-1
python2-gobject2 2.28.7-1
python2-packaging 16.8-2
python2-pyparsing 2.2.0-1
python2-setuptools 1:39.1.0-1
python2-six 1.11.0-1
python2-xdg 0.25-4
raptor 2.0.15-8
rasqal 1:0.9.33-2
re2 20180401-1
readline 7.0.003-1
recode 3.7-1
redland 1:1.0.17-4
rest 0.8.1-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-4
ruby 2.5.1-1
rubygems 2.7.6-1
run-parts 4.8.4-1
sbc 1.3-1
sdl 1.2.15-9
sdl2 2.0.8-8
shared-mime-info 1.9-1
slang 2.3.2-1
smbclient 4.8.1-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.23.1-1
srt 1.3.0-2
startup-notification 0.12-5
stress 1.0.4-4
systemd 238.76-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.13-1
tdb 1.3.15-1
tevent 1:0.9.36-1
thin-provisioning-tools 0.7.6-1
twolame 0.3.13-8
tzdata 2018d-1
uchardet 0.0.6-1
v4l-utils 1.14.2-1
vamp-plugin-sdk 2.7.1-2
vid.stab 1.1-1
vim 8.0.1542-2
vim-runtime 8.0.1542-2
volume_key 0.3.9-5
vpnc 0.5.3.svn550-2
vte-common 0.52.1-1
vulkan-icd-loader 1.1.73.0-1
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.20.1-1
webrtc-audio-processing 0.3-2
wildmidi 0.4.2-1
wireless_tools 30.pre9-1
woff2 1.0.2-1
wpa_supplicant 1:2.6-11
wv 1.2.9-4
x265 2.7-1
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.3-1
xclip 0.13-1
xdg-utils 1.1.2-2
xf86-input-libinput 0.27.1-1
xfconf 4.12.1-4
xkeyboard-config 2.23.1-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server-common 1.19.6+13+gd0d1a694f-2
xorg-server-xvfb 1.19.6+13+gd0d1a694f-2
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yaml-cpp 0.6.2-1
yubico-c 1.13-4
yubico-c-client 2.15-3
yubikey-personalization 1.19.0-1
zathura 0.3.9-2
zeromq 4.2.2-2
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.5.1-1
zstd 1.3.4-1
zvbi 0.2.35-1
